Districts,Population,per_capita/PPP($),max_temp/*C,min_temp/*C,Average age of People/years,COVID_Cases,No. of Hospitals
Achham  ,257477,536,24.5,12.6,67.14,935,84
Arghakhanchi  ,197632,909,25.8,14.9,68.56,402,54
Baglung  ,268613,868,18.9,8.3,68.83,338,73
Baitadi  ,250898,573,23.4,11.6,68.88,373,80
Bajhang  ,195159,487,13.4,2.6,65.22,477,58
Bajura  ,134912,523,15.9,4.5,63.92,626,44
Banke  ,491313,1133,30.5,17.9,68.35,1409,84
Bara  ,687708,1480,30.5,18.4,70.5,1221,131
Bardiya  ,426576,1086,30.1,17.9,67.26,478,59
Bhaktapur  ,304651,1379,23.7,12.3,70.48,907,87
Bhojpur,182459,999,23.3,12.9,68.33,24,74
Chitwan  ,579984,1537,29.5,17.4,69.78,1286,134
Dadeldhura  ,142094,764,23.8,11.7,67.9,337,43
Dailekh  ,261770,684,28.5,16.4,68.03,1091,81
Dang  ,552583,1127,14.1,3.4,67.33,923,61
Darchula  ,133274,627,24.7,13.1,69.05,63,42
Dhading  ,336067,982,22.8,11.8,70.86,296,85
Dhankuta,163412,1257,24.9,14.6,69.04,53,57
Dhanusa  ,754777,938,30.5,18.9,69.53,1883,124
Dolakha  ,186557,922,14.8,5,70.85,95,85
Dolpa  ,36700,1040,6.1,-3.3,61.2,6,24
Doti  ,211746,774,23.7,12.1,66.74,1012,70
Eastern Rukum  ,53018,782,17.1,6.1,68.39,30,17
Gorkha  ,271061,1039,12.1,4.6,71.7,287,90
Gulmi  ,280160,752,24.4,13.3,68.09,469,99
Humla  ,50858,794,7.5,-2.7,64.15,5,28
Ilam,290254,1260,24.5,14.4,67.95,101,59
Jajarkot  ,171304,611,19.9,7.8,66.45,67,35
Jhapa,812650,1226,30.2,18.7,67.29,750,93
Jumla  ,108921,1007,13,1.3,63.14,201,43
Kailali  ,775709,942,23.9,12.6,66.46,1913,87
Kalikot  ,136948,578,29.1,17.2,63.34,117,30
Kanchanpur  ,451248,938,17.7,5.9,67.08,726,48
Kapilvastu  ,571936,990,30.3,18,67.56,1267,104
Kaski  ,492098,1561,30.7,18.8,70.51,606,93
Kathmandu  ,1744240,2764,16.9,6.6,68.55,9103,1071
Kavrepalanchok  ,381937,1399,23.1,11.9,70.86,350,145
Khotang,206312,1132,23.5,13.1,70.24,44,85
Lalitpur  ,468132,1894,23,11.9,70.3,1129,240
Lamjung  ,167724,1186,18.8,8.2,69.5,306,98
Mahottari  ,627580,681,30.4,18.7,69.47,1419,99
Makwanpur  ,420477,1410,26.7,15.1,68.08,950,73
Manang  ,6538,3166,4.2,-4.6,65.04,3,18
Morang,965370,1251,29.4,18.1,69.05,2164,117
Mugu  ,55286,866,10.8,-0.1,65.57,13,32
Mustang  ,13452,1922,5.3,-3.7,65.04,1,17
Myagdi  ,113641,1028,12.4,2.5,70.05,53,53
Nawalparasi East  ,321058,1157,29.6,17.5,67.81,698,51
Nawalparasi West  ,310864,1157,29.6,17.5,67.81,361,58
Nuwakot  ,277471,1086,23.6,12.4,70.81,109,91
Okhaldhunga,147984,957,22.4,12,70.56,71,59
Palpa  ,261180,985,26.1,14.8,68.27,681,84
Panchthar,191817,1082,21.6,11.8,68.12,31,57
Parbat  ,146590,1013,23.7,12.3,70.55,122,60
Parsa  ,601017,1223,30.3,18.1,70.25,2531,123
Pyuthan  ,228102,681,24.4,13.2,64.33,478,63
Ramechhap  ,202646,951,19.7,9.2,72.9,115,86
Rasuwa  ,43300,1520,10.6,1.5,70.91,18,29
Rautahat  ,686723,757,21.7,10.5,70.99,2008,106
Rolpa  ,224506,643,30.8,18.8,66.28,103,74
Rupandehi  ,880196,1123,30.7,18.9,68.29,1672,158
Salyan  ,242444,786,25.5,13.4,68.8,326,48
Sankhuwasabha,158742,1193,30.7,18.9,68.42,78,63
Saptari  ,639284,801,30.6,18.8,71.34,976,126
Sarlahi  ,769729,809,15.2,6,70.06,2255,110
Sindhuli  ,296192,822,27.2,15.8,70.04,98,86
Sindhupalchok  ,287798,1110,17.4,7,69.57,123,108
Siraha  ,637328,689,30.6,19,71.29,744,172
Solukhumbu,105886,1841,8.5,0.1,68.83,12,41
Sunsari,763497,1104,30.1,18.6,68.33,1267,83
Surkhet  ,350804,911,27,15.1,67.28,931,113
Syangja  ,289148,1215,26,14.5,69.68,378,89
Tanahun  ,323288,1072,27.8,16,69.8,350,94
Taplejung,127461,1313,10.2,2,65.83,20,71
Terhathum,113111,1419,22.8,12.7,68.05,28,34
Udayapur,317532,920,28.1,16.8,69.29,145,59
Western Rukum  ,154272,782,17.1,6.1,68.39,82,30
